Jobtitle,City,Date,Skills,Salary,Candidates,Copy
it jefe de proyecto .net remoto,Madrid,2022-09-30,"['sql', 'itil', 'visual basic', '.net']",no disponible,5,2022-10-02
programador angular ionic - remoto,Online,2022-09-30,"['front', 'ionic', 'angularjs']",25500.0,38,2022-10-02
coordinador de redes y comunicaciones,Online,2022-09-30,"['routing', 'firewalls', 'fortinet', 'comunicaciones', 'redes', 'cisco', 'switching']",no disponible,60,2022-10-02
it analista programador .net,Madrid,2022-09-30,"['.net', 'mvc', 'sql', 'html', 'javascript', 'c#']",no disponible,1,2022-10-02
front development lead,Online,2022-09-30,"['mui', 'reactjs', 'typescript', 'redux', 'javascript', 'lodash']",33000.0,58,2022-10-02
jefe/a de proyecto - scrum,Madrid,2022-09-30,['scrum'],no disponible,26,2022-10-02
administrador/a middlewa,Madrid,2022-09-30,"['grafana', 'apache', 'ihs', 'jboss', 'kubernetes', 'tomcat', 'elasticsearch', 'api', 'weblogic', 'ldap', 'jenkins', 'kibana']",no disponible,31,2022-10-02
devops 100% remoto,Online,2022-09-30,"['aws', 'linux', 'devops', 'jenkins', 'openshift', 'confluence', 'jira', 'pipelines']",36000.0,34,2022-10-02
desarrollador java/web services,Online,2022-09-30,"['plsql', 'jsp', 'rmi', 'java', 'css', 'javascript']",no disponible,3,2022-10-02
programadores/as sr .net core/angula,Madrid,2022-09-30,"['sql', '.net', 'angularjs']",45000.0,4,2022-10-02
técnico monitorización sql,A Coruña,2022-09-30,['sql'],no disponible,5,2022-10-02
sysadmin linux senio,Online,2022-09-30,"['debian', 'bash', 'linux', 'openstack']",36000.0,12,2022-10-02
analista funcional (teletrabajo),Online,2022-09-30,"['scrum', 'git', 'agile', 'java', 'maven', 'unit', 'jira', 'spring']",no disponible,7,2022-10-02
helpdesk cau / coordinado,Madrid,2022-09-30,"['itil', 'helpdesk', 'windows']",no disponible,16,2022-10-02
operadores sistemas linux turnos 24*7,Madrid,2022-09-30,['linux'],19500.0,8,2022-10-02
técnico it,Barcelona,2022-09-30,"['office 365', 'azure']",25500.0,55,2022-10-02
desarrollador/a javascript - typescript,Online,2022-09-30,"['reactjs', 'nodejs', 'angularjs', 'docker', 'git', 'typescript', 'jenkins', 'vuejs', 'javascript']",no disponible,17,2022-10-02
técnico de soporte it (m/f/x),Barcelona,2022-09-30,"['soporte', 'microinformatica']",17000.0,11,2022-10-02
técnico/a soporte helpdesk,Barcelona,2022-09-30,"['linux', 'windows', 'office 0365', 'helpdesk', 'soporte']",no disponible,46,2022-10-02
desarrollador robotizació,Madrid,2022-09-30,"['automatizacion', 'robotizacion', 'uipath']",30000.0,13,2022-10-02
desarrolladores angular (100% remoto),Online,2022-09-30,"['css', 'angularjs', 'html', 'javascript', 'frontend']",31500.0,96,2022-10-02
consultor/a pega cdh,Madrid,2022-09-30,['pega cdh'],no disponible,2,2022-10-02
desarrollador/a frontend react,Online,2022-09-30,"['reactjs', 'nodejs']",no disponible,66,2022-10-02
desarrollador/a blockchai,Online,2022-09-30,['blockchain'],no disponible,6,2022-10-02
técnico sistemas documentum remoto,Online,2022-09-30,['documentum'],39000.0,9,2022-10-02
sre junio,Online,2022-09-30,"['postfix', 'python', 'debian', 'bash', 'lamp']",27000.0,24,2022-10-02
técnico de sistemas junio,Barcelona,2022-09-30,"['routing', 'ccna', 'wifi', 'wan', 'switching']",no disponible,10,2022-10-02
técnico junior apoyo tpvs (soporte),A Coruña,2022-09-30,['tpv'],no disponible,5,2022-10-02
programador/a fullstack,Online,2022-09-30,"['ionic', 'java', 'maven', 'hibernate', 'spring']",no disponible,32,2022-10-02
programador/a junior java 8,Bizkaia,2022-09-30,"['mybatis', 'sonar', 'nodejs', 'angularjs', 'sql', 'java', 'maven', 'git', 'jenkins', 'spring']",no disponible,36,2022-10-02
administrador/a host z/os hã\xadbrido,Madrid,2022-09-30,"['tsm', 'hots', 'z/os', 'control m', 'ams', 'vsam']",no disponible,8,2022-10-02
técnico/a de soporte it,Madrid,2022-09-30,"['soporte', 'ingles', 'mac os']",no disponible,15,2022-10-02
consultor pl/sql,Madrid,2022-09-30,['pl/sql'],25500.0,46,2022-10-02
devops,Online,2022-09-30,"['kanban', 'scrum', 'devops']",no disponible,11,2022-10-02
tã©cnico/a de virtualizaciã³n vdi,Online,2022-09-30,"['aws', 'nagios', 'hyper v', 'vmware', 'veeambackup', 'lan/san', 'azure', 'vsphere']",16500.0,20,2022-10-02
programador ios swif,Madrid,2022-09-30,"['ios', 'swift', 'cocoa touch', 'objectivec', 'xcode', 'rxswift', 'appcode']",no disponible,9,2022-10-02
analista programador o365/sharepoi,Barcelona,2022-09-30,"['sharepoint', 'power apps', 'microsoft teams', 'c#', 'power platform', 'power automate', 'power bi', '.net', 'o365']",34500.0,9,2022-10-02
técnico senior cloud,Madrid,2022-09-30,"['ansible', 'python', 'java', 'vmware', 'gitlab']",no disponible,6,2022-10-02
analista programador/a frontend - js,Online,2022-09-30,"['reactjs', 'css', 'hooks', 'html', 'javascript']",no disponible,61,2022-10-02
operador/a de sistemas,Madrid,2022-09-30,"['sistemas', 'operador']",17000.0,11,2022-10-02
desarrollador springboot / angula,Online,2022-09-30,"['java', 'spring', 'angularjs']",no disponible,8,2022-10-02
analista desarrollador tuxedo y c,Madrid,2022-09-30,"['c', 'tuxedo', 'weblogic', 'osb', 'oracle', 'rest']",36000.0,11,2022-10-02
