Jobtitle,City,Date,Skills,Salary,Candidates,Copy
desarrollador/a senio,Jaén,2022-08-31,"['sass', 'laravel', 'mariadb', 'html5', 'mysql', 'php', 'css', 'javascript']",no disponible,17,2022-10-09
junior big data / data analyst (i&d),Barcelona,2022-08-24,"['powercenter', 'spark', 'tableau', 'scala', 'java', 'power bi']",no disponible,204,2022-10-09
junior big data / data analyst (i&d),Valencia,2022-08-24,"['powercenter', 'spark', 'tableau', 'scala', 'java', 'power bi']",no disponible,146,2022-10-09
desarrollador front-end,Online,2022-08-24,"['reactjs', 'css', 'jsx', 'git', 'js', 'html', 'scss']",no disponible,139,2022-10-09
linux systems engi,Online,2022-08-24,"['suse', 'linux', 'centos']",no disponible,24,2022-10-09
head frontend group at iram,Granada,2022-08-24,"['cryogenics', 'superconducting detectors', 'mixers', 'vacuum techniques', 'quasi optics']",no disponible,6,2022-10-09
analista programador/a,Girona,2022-08-24,"['java', '.net', 'abap']",no disponible,16,2022-10-09
ingeniero/a junior desarrollo,Madrid,2022-08-24,"['java', 'c#']",no disponible,172,2022-10-09
digital services mana,Bizkaia,2022-08-24,"['scrum', 'servicios digitales']",no disponible,1,2022-10-09
performance marketing mana,Barcelona,2022-08-24,"['facebook ads', 'instagram ads', 'youtube ads', 'google ads']",no disponible,3,2022-10-09
ingeniero/a de seguridad perimetral,Madrid,2022-08-17,"['waf', 'ids', 'firewalls', 'ips']",no disponible,8,2022-10-09
tã©cnico/a de soporte helpdesk,Girona,2022-08-17,"['helpdesk', 'office', 'windows']",no disponible,32,2022-10-09
técnico de diseño y contenidos,Barcelona,2022-08-17,"['photoshop', 'illustrator', 'word', 'excel', 'html5', 'gimp', 'powerpoint']",18000.0,64,2022-10-09
ingeniero de seguridad (fortinet),Madrid,2022-08-17,['fortinet'],no disponible,14,2022-10-09
ios develop,Barcelona,2022-08-17,"['ios', 'swift']",no disponible,2,2022-10-09
técnico de soporte windows y linux,Madrid,2022-08-17,"['linux', 'windows']",no disponible,16,2022-10-09
technical lead .net core teletrabajo,Online,2022-08-17,"['azure', 'kubernetes', '.net', 'docker']",no disponible,19,2022-10-09
data analys,Almería,2022-08-17,['power bi'],no disponible,24,2022-10-09
desarrollador/a mern,Valencia,2022-08-17,"['mern', 'reactjs', 'nodejs', 'angularjs']",27000.0,57,2022-10-09
desarrollador/a senior react + inglã©s,Málaga,2022-08-17,['reactjs'],no disponible,9,2022-10-09
becario para kiteris data,Barcelona,2022-08-17,"['power bi', 'tableau']",no disponible,44,2022-10-09
soporte técnico asg,Madrid,2022-08-11,"['soporte', 'windows', 'microinformatica', 'web']",7500.0,70,2022-10-09
manager pmo,Valladolid,2022-08-10,"['itil', 'agile', 'scrum']",no disponible,6,2022-10-09
sap ssff administrato,Madrid,2022-08-10,['sap'],36000.0,6,2022-10-09
it compliance specialis,Barcelona,2022-08-10,"['compliance', 'cloud']",no disponible,9,2022-10-09
system engi,Granada,2022-08-03,"['vmware', 'azure', 'windows server']",no disponible,9,2022-10-09
project mana,La Rioja,2022-08-03,['pmp'],no disponible,3,2022-10-09
desarrollador/a full stack nodejs remoto,Bizkaia,2022-08-03,"['nodejs', 'angularjs']",no disponible,13,2022-10-09
tã©cnico/a de sistemas de aplicaciones,Madrid,2022-07-20,"['tomcat', 'websphere', 'jboss']",no disponible,32,2022-10-09
mulesoft developer tech lead,Madrid,2022-07-20,"['mulesoft', 'scrum', 'agile']",no disponible,2,2022-10-09
development project mana,Madrid,2022-07-20,['pmp'],no disponible,3,2022-10-09
ingeniero/a de proyectos y mejora conti,La Rioja,2022-07-19,"['six sigma black belt', 'wcm', 'pmp']",no disponible,4,2022-10-09
infraestructure lead,Barcelona,2022-07-13,"['it', 'sla']",no disponible,12,2022-10-09
ingeniero programado,Barcelona,2022-07-13,['.net'],no disponible,8,2022-10-09
"programador angular,vue,react remoto",Barcelona,2022-06-14,"['reactjs', 'angularjs', 'vuejs']",no disponible,57,2022-10-09
tã©cnico/a de soporte helpdesk,Barcelona,2022-06-07,"['apple', 'microsoft', 'linux']",no disponible,127,2022-10-09
programador business central (navision),Barcelona,2022-06-01,"['navision', 'business central', 'dynamics']",no disponible,7,2022-10-09
programador business central (navision),Barcelona,2022-05-31,"['navision', 'business central']",no disponible,3,2022-10-09
desarrollador frontend react (remoto),Alicante,2022-05-18,"['reactjs', 'typescript']",no disponible,45,2022-10-09
system analys,Estonia,2022-04-13,"['aws', 'google cloud', 'azure']",46500.0,1,2022-10-09
c++ engineer specialized in video,Barcelona,2022-04-11,"['cplusplus', 'opengl']",54000.0,4,2022-10-09
c++ engineer specialized in qt,Barcelona,2022-04-11,['cplusplus'],46500.0,2,2022-10-09
analista junior ciberseguridad (cert),Madrid,2022-01-19,"['ids', 'siem', 'linux', 'waf', 'windows', 'fw']",no disponible,163,2022-10-09
consultor junior agile (remoto),Madrid,2022-10-14,['agile'],no disponible,16,2022-10-16
qa tester automatizacion java selenium,Madrid,2022-10-14,"['java', 'qa', 'tester', 'selenium']",no disponible,2,2022-10-16
desarrollador python/pyspark,Barcelona,2022-09-30,['python'],no disponible,1,2022-10-16
analistas programadores plex as400,Madrid,2022-10-14,"['rpg', 'cobol', 'rpgfree', 'mqseries', 'sql', 'as400']",no disponible,1,2022-10-16
consultor powerc,Madrid,2022-10-14,"['sql', 'java', 'powercenter', 'etl']",no disponible,0,2022-10-16
desarrolladores java springboot sql,Málaga,2022-10-14,"['sql', 'java', 'spring']",no disponible,0,2022-10-16
data protectio,Madrid,2022-10-14,['.net'],no disponible,0,2022-10-16
ingeniero junior de softwa,Sevilla,2022-10-14,['cplusplus'],no disponible,1,2022-10-16
consultor powerbi/snowflak,Barcelona,2022-10-14,"['power bi', 'snowflake']",no disponible,1,2022-10-16
desarrollador react/html/css,Madrid,2022-10-07,"['html', 'reactjs', 'css']",no disponible,9,2022-10-16
desarrollador angular remoto,Madrid,2022-09-30,['angularjs'],no disponible,4,2022-10-16
programadores senior java plsql,Madrid,2022-10-14,"['java', 'plsql', 'shell scripting']",no disponible,1,2022-10-16
experto en c con python ubuntu,Online,2022-10-16,"['python', 'ubuntu', 'c']",no disponible,4,2022-10-16
tecnico/a micro (senior con inglés b2),Madrid,2022-10-16,"['software', 'ticketing', 'hardware', 'lan', 'wan']",no disponible,4,2022-10-16
frontend technical lead,Online,2022-10-16,"['nodejs', 'angularjs', 'sass/scss', 'typecript', 'css', 'javascript', 'html']",no disponible,3,2022-10-16
java develop,Online,2022-10-15,"['java', 'jenkins', 'backend', 'frontend', 'spring']",21000.0,18,2022-10-16
consultor/a sharepoi,Barcelona,2022-10-15,"['sharepoint', 'sql server']",no disponible,0,2022-10-16
analista programador/a ó técnico,A Coruña,2022-10-15,"['sql', 'uml']",no disponible,1,2022-10-16
experto/a solr ¡remoto!,Online,2022-10-15,"['java', 'apache', 'solr']",no disponible,6,2022-10-16
fullstack developer / inglés,Online,2022-10-15,"['reactjs', 'nodejs', 'microservicios', 'azure', 'cloud']",no disponible,5,2022-10-16
ingeniero fullstack senio,Online,2022-10-15,"['angularjs', 'sass/scss', 'typescript', 'css', 'javascript', 'html']",no disponible,4,2022-10-16
desarrollador/a .net (diseño web),Madrid,2022-09-30,"['tfs', 'sql', 'vs', 'diseno', 'web', '.net']",28500.0,1,2022-10-16
adm. sistemas (firma electr.pki),Madrid,2022-09-30,"['pki', 'linux', 'windows']",24000.0,2,2022-10-16
técnico de sistemas (vmware y linux ),Madrid,2022-10-15,"['unix', 'vmware', 'linux', 'red hat']",28500.0,6,2022-10-16
analistas testing,Barcelona,2022-10-15,['testing'],27000.0,4,2022-10-16
google analytics,Madrid,2022-10-14,"['analytics', 'google analytics']",31500.0,8,2022-10-16
experto en apache solr,Madrid,2022-10-14,"['apache solr', 'ecommerce']",no disponible,1,2022-10-16
desarrollador soa/osb remoto,Online,2022-10-14,"['soa', 'bpm', 'osb', 'kanban', 'oracle', 'agile']",31500.0,6,2022-10-16
it java junior híbrido,Madrid,2022-09-30,"['jsf', 'pl/sql', 'java', 'oracle', 'spring']",no disponible,31,2022-10-16
"arquitecto, cloud aws",Online,2022-10-14,"['aws', 'apache', 'tomcat', 'jboss/wildfly', 'weblogic', 'cloud', 'azure', '.net']",no disponible,1,2022-10-16
analista programador/bi data,Zaragoza,2022-10-14,"['bussiness intelligence.', 'bi', 'data', 'etl']",no disponible,0,2022-10-16
consultor etl (remoto) inglés,Online,2022-10-14,"['powercenter', 'etl']",37500.0,2,2022-10-16
analista funcional/procesos de negocio,Online,2022-10-14,"['software testing', 'scrum', 'azure']",no disponible,5,2022-10-16
consultor/a funcional centro autorizado,Online,2022-10-14,['centro autorizador'],no disponible,2,2022-10-16
consultor/a sap sr sd,Online,2022-10-14,"['sr', 'sd', 'sap']",no disponible,1,2022-10-16
consultor/a microsoft system c,Online,2022-10-14,"['scom', 'microsoft system center']",43500.0,3,2022-10-16
ingeniero/a de software c++ (hﾃｭbrido),Barcelona,2022-10-14,"['cplusplus', 'rtos']",36000.0,6,2022-10-16
programador/a reac,Asturias,2022-10-14,['reactjs'],no disponible,4,2022-10-16
desarrollador/a delphi (hasta 36.000),Baleares,2022-10-14,"['delphi', 'oracle', 'pl/sql']",no disponible,12,2022-10-16
administrador/a backup,Online,2022-10-14,['backup'],40500.0,4,2022-10-16
cloud engineer aws,Madrid,2022-10-14,"['aws', 'cloud']",no disponible,0,2022-10-16
consultor/a gestión de servicios it,Barcelona,2022-10-14,"['itsm', 'microsoft', 'cmdb']",28500.0,4,2022-10-16
técnico de sistemas - temporal,Online,2022-10-14,"['apache', 'tomcat', 'angularjs', 'scripting', 'jenkins']",no disponible,26,2022-10-16
programador spark/scala (remoto),Online,2022-10-14,"['aws', 'python', 'spark', 'git', 'scala', 'java', 'sql', 'maven', 'confluence', 'jira']",no disponible,0,2022-10-16
programador/a java,Online,2022-10-14,"['jpa', 'java', 'maven', 'quarkus', 'hibernate', 'rest', 'postgis', 'sping']",36000.0,2,2022-10-16
consultor/a sap abap,Madrid,2022-10-14,"['abap', 'sap']",no disponible,1,2022-10-16
técnico/a de sistemas linux & vmwa,Madrid,2022-10-14,"['vmware', 'linux']",28500.0,3,2022-10-16
consultor/a sap mm,Madrid,2022-10-14,['sap'],no disponible,0,2022-10-16
analista programador/a en jee-java,Online,2022-10-14,"['jsf', 'linux', 'jpa', 'jee', 'bbdd', 'weblogic', 'java', 'hibernate', 'oracle', 'spring']",no disponible,1,2022-10-16
ingeniero/a y tech lead java,Online,2022-10-07,"['java', 'angularjs']",no disponible,2,2022-10-16
qa tes,Online,2022-10-14,"['java', 'qa', 'tester']",no disponible,12,2022-10-16
arquitecto/a ar/vr,Madrid,2022-10-14,"['ar', 'vr']",no disponible,0,2022-10-16
programador/a jasperreports,Online,2022-10-14,"['talend', 'pl/sql', 'java', 'power bi', '.net']",no disponible,2,2022-10-16
programadores php laravel,Madrid,2022-10-14,"['php', 'laravel', 'postgresql']",no disponible,15,2022-10-16
operador / técnico unix,Málaga,2022-10-14,"['unix', 'shell scripting']",19500.0,7,2022-10-16
programador front angula,Online,2022-10-14,"['reactjs', 'swift', 'android', 'scrum', 'bootstrap', 'linux', 'git', 'angularjs', 'sql', 'typescript', 'html5', 'css', 'javascript']",28500.0,29,2022-10-16
analista programador/a sas bbdd,Barcelona,2022-10-14,"['bbdd', 'sas']",no disponible,0,2022-10-16
it qa automatizaciã³n remoto,Online,2022-10-14,"['cypress', 'jmeter', 'postman', 'qa', 'karate', 'selenium', 'cucumber', 'java']",no disponible,11,2022-10-16
programador linux,Online,2022-10-07,"['postfix', 'python', 'debian', 'bash', 'lamp']",27000.0,43,2022-10-16
product owner medios de pago,Online,2022-10-14,"['fpd', 'chaps', 'medios de pago']",33000.0,2,2022-10-16
técnicos de sopo,Madrid,2022-10-14,"['ms office', 'soporte', 'windows 10', 'outlook', 'windows 7']",13500.0,63,2022-10-16
ap o programador/a front end,Madrid,2022-10-14,"['reactjs', 'bootstrap', 'nodejs', 'sencha', 'angularjs', 'jquery', 'vuejs', 'html']",no disponible,8,2022-10-16
t├®cnico de sistemas linux,Madrid,2022-10-14,"['elipse', 'linux', 'ansible', 'vcenter', 'vmware', 'red hat', 'rhel', 'oracle', 'jre']",28500.0,55,2022-10-16
ap o programadores/as java (spring boot),Madrid,2022-10-14,"['java', 'oracle', 'spring', 'microservicios']",39000.0,0,2022-10-16
arquitecto/a microservicios,Online,2022-10-14,"['rest', 'spring', 'soap', 'microservicios']",no disponible,0,2022-10-16
frontend react developer - full remo,Online,2022-09-30,"['html', 'reactjs', 'css']",42000.0,43,2022-10-16
consultor/a técnico en java,Online,2022-10-08,['java'],no disponible,12,2022-10-16
fullstack developer bi,Barcelona,2022-10-14,"['reactjs', 'bi', 'powebi', 'nodejs', 'angularjs']",no disponible,5,2022-10-16
técnico sistemas unix linux (híbrido),Madrid,2022-10-02,"['unix', 'linux']",28500.0,24,2022-10-16
programador/a angula,Cantabria,2022-10-14,['angularjs'],no disponible,6,2022-10-16
técnico/a de sistemas,Barcelona,2022-09-30,"['software', 'sage', 'hardware', 'exchange', 'citrix', 'redes', 'microinformatica']",31500.0,51,2022-10-16
consultor senior procesos call c,Madrid,2022-10-14,"['call center', 'pmo', 'contact center']",84000.0,1,2022-10-16
programador .net,Sevilla,2022-10-07,"['.net', 'sql server', 'angularjs', 'sql', 'jquery', 'html5', 'css', 'javascript', 'c#']",33000.0,6,2022-10-16
tester manual/automático,Madrid,2022-10-14,['tester'],21000.0,5,2022-10-16
programador .net y xamarin remoto 100%,Online,2022-10-07,"['xamarin', '.net']",no disponible,12,2022-10-16
programador junior pl/sql (100% remoto),Online,2022-10-14,"['unix', 'pl/sql', 'cplusplus']",no disponible,83,2022-10-16
desarrollador senior xamarin / .net maui,Online,2022-09-30,"['.net', 'xamarin', 'c#', 'visual studio']",33000.0,17,2022-10-16
php full stack develop,Online,2022-09-29,"['nodejs', 'sql', 'jquery', 'php', 'html', 'javascript']",40500.0,316,2022-10-16
desarrollador .net (remoto),Madrid,2022-10-14,"['mvc', 'sql server', 'angularjs', 'git', '.net']",no disponible,23,2022-10-16
qa tester manual / funcional,Barcelona,2022-10-06,"['qa', 'tester']",no disponible,25,2022-10-16
programador mid-senior react,Online,2022-09-30,['reactjs'],33000.0,19,2022-10-16
java software develop,Online,2022-10-14,"['openapi maven', 'api', 'ddd', 'java', 'spring']",39000.0,7,2022-10-16
programador backend,Online,2022-10-06,"['php', 'java', 'python', 'ruby']",no disponible,16,2022-10-16
administrador/a genesys 100% remoto,Online,2022-09-29,"['crm', 'genesys', 'cti', 'contact center']",28500.0,38,2022-10-16
desarrollador/a java c++ remoto,Online,2022-10-14,"['java', 'cplusplus']",20000.0,11,2022-10-16
administrador/a sistemas,Madrid,2022-09-30,"['veritas', 'avamar', 'cloud']",no disponible,16,2022-10-16
it desarrollo java springboot híbrido,Madrid,2022-10-01,"['java', 'spring']",no disponible,5,2022-10-16
discovery and assessment lead,Online,2022-09-30,"['discovery', 'assessment', 'cmdb', 'atrium cmdb', 'middleware', 'bmc discovery', 'power bi']",no disponible,3,2022-10-16
frontend develop,Barcelona,2022-10-06,"['reactjs', 'web 3', 'git', 'blockchain', 'typescript', 'javascript']",no disponible,32,2022-10-16
dba db2 100% remoto,Online,2022-09-29,['db2'],31500.0,13,2022-10-16
programador .net (100% remoto),Online,2022-09-30,"['mvc', '.net']",no disponible,47,2022-10-16
programador python teletrabajo,Online,2022-09-29,['python'],25500.0,33,2022-10-16
data engineer for googl,Barcelona,2022-09-30,"['linux', 'data']",no disponible,35,2022-10-16
tã©cnico/a microinformat perfil junio,Madrid,2022-10-14,"['outlook', 'office 365']",no disponible,58,2022-10-16
it desarrollo java backend híbrido,Madrid,2022-09-14,"['nodejs', 'git', 'docker', 'java', 'jenkins', 'mysql', 'jira']",no disponible,5,2022-10-16
consultor/a grc/ciberseguridad,Barcelona,2022-09-30,"['grc', 'ciberseguridad', 'iso27001']",no disponible,60,2022-10-16
técnico de telecomunicaciones,Barcelona,2022-09-29,"['rack', 'switch', 'telecomunicaciones', 'router', 'cpd', 'fibra optica', 'ap']",17000.0,29,2022-10-16
desarrollador/a front end | remoto,Online,2022-09-30,"['e2e', 'rxjs', 'angularjs', 'cucumber', 'jenkins', 'scss', 'javascript']",no disponible,41,2022-10-16
consultor sap junior con org. industrial,Gipuzkoa,2022-09-30,"['it', 'sap']",no disponible,12,2022-10-16
it técnico/a cau presencial,Madrid,2022-09-30,"['outlook', 'adobe']",no disponible,53,2022-10-16
técnico helpdesk,Madrid,2022-09-30,"['backup', 'ios', 'android', 'windows', 'ticketing', 'helpdesk', 'microsoft 365', 'windows server', 'vpn']",18.0,214,2022-10-16
project manager - applications,Barcelona,2022-09-30,"['prince', 'pmp']",no disponible,3,2022-10-16
responsable de marketing y comunicació,Valencia,2022-09-29,"['marketing', 'rrss']",no disponible,12,2022-10-16
prácticas: ingeniería ciberseguridad,Madrid,2022-09-29,"['nmap', 'nessus', 'ciberseguridad', '.net']",no disponible,16,2022-10-16
gestor incidencias (sql),Málaga,2022-09-29,"['sql', 'scrum']",no disponible,20,2022-10-16
it data analyst remoto,Madrid,2022-09-30,"['power bi', 'data', 'etl']",no disponible,13,2022-10-16
it project mana,Madrid,2022-10-14,['project manager'],36000.0,8,2022-10-16
consultor sas,Madrid,2022-10-06,"['sql', 'sas base', 'sas enterprise guide', 'sas']",no disponible,6,2022-10-16
técnico instalaciones red móvil 4g/5g,Barcelona,2022-10-07,"['software', 'telco', '4g/5g', 'antenas', 'hardware', 'bts', 'huawei', 'rru']",no disponible,8,2022-10-16
técnico/a cloud,Madrid,2022-10-02,"['kubernetes', 'json', 'vmware', 'yaml', 'cloud']",no disponible,4,2022-10-16
desarrollador full stack,Madrid,2022-09-30,"['java', 'microservicios']",no disponible,50,2022-10-16
consultor office 365,Online,2022-10-07,"['shell scripting', 'exchange', 'office 365', 'azure']",no disponible,32,2022-10-16
full stack developer (php / js),Online,2022-09-29,"['php', 'javascript']",27000.0,76,2022-10-16
analista programador .net web,Madrid,2022-09-29,"['c#', 'mvc', '.net', 'siss']",no disponible,11,2022-10-16
programador liferay,Bizkaia,2022-10-09,"['java', 'liferay', 'javascript']",no disponible,4,2022-10-16
desarrollador java,Bizkaia,2022-10-13,['java'],no disponible,1,2022-10-16
it security exp,Online,2022-10-07,"['bcp', 'drp', 'security', '27005', 'idpo', 'gdpr', 'firewalls', 'it', 'iso', '27001']",37500.0,7,2022-10-16
business consultant cima,Madrid,2022-10-07,"['cima', 'on boarding', 'kyc']",34500.0,2,2022-10-16
administrador sistemas wintel/vmwa,Madrid,2022-09-29,"['vmware', 'wintel']",no disponible,17,2022-10-16
desarrollador reac,Madrid,2022-10-07,['reactjs'],no disponible,15,2022-10-16
analista con etl,Madrid,2022-10-13,"['powercenter', 'idq', 'sql server', 'etl']",22500.0,6,2022-10-16
automation/devops engineer-hybrid model,Madrid,2022-09-29,"['kubernetes', 'python', 'robotics', 'bash', 'api', 'git', 'ci/cd', 'jinja', 'yaml', 'mongobd', 'helm', 'kibana']",40500.0,9,2022-10-16
frontend developer react/angula,Online,2022-09-29,"['javascript', 'reactjs', 'typescript']",no disponible,86,2022-10-16
qa tester automatizado,Barcelona,2022-09-30,"['ingles', 'qa', 'java', 'cucumber', 'automatizacion', 'javascript', 'tester']",19500.0,46,2022-10-16
desarrollador/a jr + bootcamp angula,Valencia,2022-09-30,['angularjs'],16500.0,112,2022-10-16
arquitecto de soluciones softwa,Online,2022-09-30,"['hasura', 'soa', 'bdd', 'nodejs', 'nestjs', 'microservicios', 'ci/cd', 'typescript', 'javascript', 'tdd', 'graphql']",66000.0,18,2022-10-16
java develop,Online,2022-10-08,"['aws', 'kubernetes', 'docker', 'java', 'eks']",no disponible,6,2022-10-16
analista programador con spring boo,Asturias,2022-10-04,"['java', 'spring']",no disponible,5,2022-10-16
desarrollador front angula,Madrid,2022-10-09,"['bootstrap', 'angularjs', 'typescript', 'html5', 'css', 'javascript']",no disponible,21,2022-10-16
programador php,Madrid,2022-09-29,"['php', 'drupal', 'wordpress']",25500.0,26,2022-10-16
técnico de monitorización redes,Madrid,2022-10-06,"['ip', 'rtn', 'tx', 'nce', 'wireless', 'atn', 'dwdm']",no disponible,23,2022-10-16
ap java devops (teletrabajo/remoto),Online,2022-09-29,"['java', 'devops']",no disponible,24,2022-10-16
bootcamp mendix dirigido a ingenieros/as,Valencia,2022-09-30,"['sql', 'java', 'mendix']",no disponible,192,2022-10-16
it analista funcional remoto,Online,2022-09-29,"['sql', '.net']",no disponible,42,2022-10-16
consultor técnico microstrategy,Madrid,2022-09-30,"['murex', 'soporte', 'microstrategy']",31500.0,11,2022-10-16
desarrollador pl/sql remoto,Online,2022-10-13,"['programador', 'pl/sql', 'remoto', 'osb', 'desarrollador', 'oracle', 'agile', 'kangan']",30000.0,34,2022-10-16
jefe de equipo de soporte tã©cnico,Murcia,2022-10-13,"['soporte', 'sql', 'java', 'poo', 'postgresql']",no disponible,10,2022-10-16
it programador/a .net híbrido,Madrid,2022-10-13,"['c#', 'visual basic', '.net', 'mysql']",no disponible,5,2022-10-16
"operadores patching, linux",Málaga,2022-09-30,"['backup', 'patching', 'linux', 'bbdd']",no disponible,8,2022-10-16
it data scientist híbrido,Madrid,2022-10-07,"['python', 'sql']",no disponible,44,2022-10-16
it/qa automatización con python remoto,Online,2022-09-13,"['python', 'qa', 'docker']",no disponible,31,2022-10-16
técnico/a experto/a en datos,Madrid,2022-10-06,"['ckan', 'xml', 'api', 'owl', 'sparql', 'web service']",no disponible,3,2022-10-16
junior software developer rodod+formac.,Murcia,2022-09-30,"['desarrollo de software', 'software', 'telecomunicaciones', 'e business suite', 'oracle', 'agile']",no disponible,67,2022-10-16
it analista cobol remoto,Online,2022-09-28,"['host', 'cobol']",no disponible,110,2022-10-16
desarrollador/a .net,Online,2022-09-30,['.net'],no disponible,61,2022-10-16
desarrollador java remoto,Online,2022-10-07,"['reactjs', 'microservicios', 'mockito', 'java', 'angularjs', 'colas', 'jenkins', 'kafka', 'openshift', 'desarrollador']",no disponible,15,2022-10-16
it desarrollador/a fullstack híbrido,Madrid,2022-09-30,"['html', 'javascript', 'nodejs', 'css']",no disponible,17,2022-10-16
técnico/a rrhh  junio,Barcelona,2022-10-06,"['ats', 'excel']",19500.0,67,2022-10-16
soporte informático (h/m),Gipuzkoa,2022-09-30,"['erp', 'office 365']",no disponible,8,2022-10-16
qa lead & qa automation (h/m/d),Murcia,2022-09-30,"['qa', 'testing']",no disponible,1,2022-10-16
director de ingeniería,Toledo,2022-10-07,['electronica'],no disponible,0,2022-10-16
data engineer (saas company),Barcelona,2022-09-28,"['sql', 'mongodb', 'data', 'etl']",no disponible,2,2022-10-16
prã¡cticas: ing. ciberseguridad cloud,Madrid,2022-10-13,"['ciberseguridad', 'terraform', 'ansible']",no disponible,43,2022-10-16
técnico de soporte nivel 2,Sevilla,2022-10-13,"['vmware', 'soporte', 'microinformatica']",no disponible,15,2022-10-16
dba senior oracle 12,Online,2022-09-29,"['oracle', 'sql server']",no disponible,23,2022-10-16
ingeniero de proyecto,Madrid,2022-09-28,"['electronica', 'access point', 'wifi', 'lan', 'redes']",no disponible,8,2022-10-16
qa automation engineer (h/m/d),Valencia,2022-09-30,"['linux', 'qa', 'git', 'sql', 'selenium']",no disponible,2,2022-10-16
programador angular html5 css,Madrid,2022-09-28,"['css', 'html5', 'angularjs']",28500.0,36,2022-10-16
analista sap junior (h/m),Bizkaia,2022-10-07,['sap'],28500.0,6,2022-10-16
qa senior (hibrido),Valencia,2022-09-28,"['python', 'selenium', 'qa', 'gherkin']",no disponible,2,2022-10-16
test automation engineer (h/m/d),Valencia,2022-09-30,"['java', 'selenium', 'testing']",no disponible,2,2022-10-16
técnico/a soporte usuarios/as,Valencia,2022-10-07,"['microsoft', 'office', 'windows', 'ticketing']",no disponible,61,2022-10-16
it java con microservicios remoto,Online,2022-09-28,"['kubernetes', 'microservicios', 'docker', 'java', 'spring']",no disponible,15,2022-10-16
it técnico cau presencial,Madrid,2022-09-29,"['cau', 'sccm', 'active directory']",no disponible,59,2022-10-16
perfil devops elk (teletrabajo / remoto),Online,2022-09-29,"['elk', 'devops']",no disponible,10,2022-10-16
it data engineer remoto,Online,2022-09-27,"['aws', 'python', 'lambda', 'pandas', 'data', 's3']",no disponible,82,2022-10-16
devops,Online,2022-10-08,"['github actions', 'iac', 'kubernetes', 'docker']",no disponible,8,2022-10-16
desarrollador java microservicios remoto,Online,2022-09-29,"['kubernetes', 'docker', 'microservicios', 'java', 'cloud', 'spring']",no disponible,22,2022-10-16
3 operadores windows sccm plaforms,Málaga,2022-09-30,"['sccm', 'windows']",no disponible,6,2022-10-16
it desarrollo apps java remoto,Madrid,2022-09-30,"['j2ee', 'java']",no disponible,9,2022-10-16
ingeniero/a networking con inglăšs,Madrid,2022-10-12,"['networking', 'cisco']",31500.0,7,2022-10-16
programador php symphony,Online,2022-09-29,"['php', 'symphony']",no disponible,26,2022-10-16
técnico soporte/sistemas,Madrid,2022-10-07,"['active directory', 'gpo', 'windows server']",no disponible,79,2022-10-16
analista programador/a java senio,Murcia,2022-09-12,"['java', 'oracle', 'sl/sql']",no disponible,9,2022-10-16
it | desarrollo ios | remoto,Online,2022-09-30,"['ios', 'swift', 'mvvm']",no disponible,10,2022-10-16
analista programado,Madrid,2022-10-07,"['unix', 'cplusplus', 'c', 'angularjs', 'java', 'oracle', 'plsql']",no disponible,8,2022-10-16
helpdesk,Tarragona,2022-09-30,"['helpdesk', 'workplace']",16500.0,31,2022-10-16
planificador/a control-m,Madrid,2022-09-29,"['control m', 'bacht']",22500.0,11,2022-10-16
android developer - inernational projec,Online,2022-09-29,"['android', 'agile', 'kotlin']",no disponible,11,2022-10-16
administrador/a de almacenamiento,Online,2022-09-29,"['san', 'nas', 'hitachi', 'cabinas ibm', 'emc', '.net']",40500.0,82,2022-10-16
técnico informático fin de semana,Online,2022-09-30,"['soporte', 'microinformatica']",no disponible,589,2022-10-16
desarrollador/a spring boo,Málaga,2022-09-29,"['java', 'github', 'spring']",no disponible,4,2022-10-16
analista funcional,Madrid,2022-09-29,['agile'],37500.0,12,2022-10-16
programador java,Online,2022-09-30,"['java', 'jsf', 'sprig']",24000.0,92,2022-10-16
analista funcional leasing/renti,Online,2022-09-30,"['host', 'cobol']",28500.0,12,2022-10-16
administrador/a almacenamiento / backup,Barcelona,2022-10-09,"['backup', 'cabinas', 'almacenamiento']",33000.0,6,2022-10-16
ingeniero jr sistemas/automatizació,Madrid,2022-09-30,"['php', 'linux', 'windows', 'shell scripting']",no disponible,13,2022-10-16
network engi,Málaga,2022-09-29,"['lan', 'wan']",no disponible,0,2022-10-16
cad desi,Zaragoza,2022-10-12,"['solid works', '3d']",no disponible,0,2022-10-16
administrador backup (veritas netbackup),Madrid,2022-09-29,"['backup', 'commvault', 'veem backup']",no disponible,5,2022-10-16
técnico de soporte it,Madrid,2022-10-06,"['active directory', 'office 365']",no disponible,19,2022-10-16
analista programador arcgis,Madrid,2022-09-30,"['arcmap', 'arcgis']",no disponible,5,2022-10-16
senior devops,Barcelona,2022-10-12,['devops'],no disponible,0,2022-10-16
ios develop,Online,2022-09-12,['ios'],39000.0,16,2022-10-16
administrador/a de base datos/powerbi,Valencia,2022-09-29,"['optimus', 'power bi']",no disponible,6,2022-10-16
programador/a android,Madrid,2022-09-29,"['android', 'kotlin']",no disponible,18,2022-10-16
programador java(proyecto internacional),Madrid,2022-10-09,"['java', 'jsf', 'spring', 'microservicios']",36000.0,10,2022-10-16
tã©cnico onsite de redes,Barcelona,2022-10-11,['redes'],no disponible,31,2022-10-16
